Source,Reference,Hypothesis
我们当时与员工们进行了沟通，告诉他们：与所有在竞争激烈且经济环境充满不确定性的环境中运营的公司一样，我们一直在持续地对自身的运营情况进行评估（这一评估涵盖了我们所有的业务和分支机构），以便保持竞争力。,"We discussed with employees then that like all companies operating in an extremely competitive and uncertain economic climate, we review our operations on an ongoing basis - and that applies across our all our businesses and sites - in order to remain competitive.","The workers were talking about workers who have already told us that a few businesses and associated organizations in competitive and economic environment, we have continued to assess their performance (which includes all businesses and associated institutions), and that we have continued to maintain competitiveness."
她补充道：“近年来，我们在 Tollcross 工厂投入了超过 500 万英镑的资金，主要用于生产线的升级以及运营流程的优化。”,"She added: ""In recent years, we have invested over £5m in our Tollcross site, notably on production lines and operational improvements.","The worker added that “Since the recently, we invested a huge amount of dollars in a tollcross factory, which would be spent on a few billion dollars in manufacturing lines, including manufacturing processes, and infrastructure processes.”"
我们充分认识到 Tollcross 作为制造基地所拥有的历史价值；如果该基地的运营方式有任何变化，员工及其工会代表将会是最早获知这些信息的人。,"We fully recognise the heritage of Tollcross as a manufacturing site and should there be any changes to our operations at the site, employees and their union representatives will be the first to know.""","The importance of Tollcross is that it is a manufacturing center; if it is a changing strategy, the employees and 工会s will be a leading contributor to these information."
中国新闻社西藏分社5月11日电（陈涛斌）西藏自治区体育局副局长尼玛次仁10日在珠穆朗玛峰北坡大本营表示，珠穆朗玛峰北坡生活垃圾的清理工作将从过去的公益行动，转变为由中国政府主导、国际社会参与的常态化行动。,"China News Service Tibet, May 11 wire (Chen Taobin) Nyima Tsering, Deputy Director of the Tibet Autonomous Region Sports Bureau said at the Everest North Base Camp on the 10th that the cleaning up of domestic waste on the northern slope of Mount Everest will move from a public interest action in the past toward a normalized action led by the Chinese government and in which the international community will participate.","The Chinese News Agency, a former chief executive of the Southeast Asia Olympic Committee, announced that the removal of waste waste would be driven by the traditional initiatives of the traditional initiatives of the traditional initiatives of the Islamic State, which would be a temporary effort to promote, and international community."
5月10日，环保志愿者将已经分类好的垃圾装上了卡车。,"On May 10, environmental protection volunteers loaded rubbish that have been sorted onto trucks.",The environmental workers will have already published a bottle of waste.
中国新闻社/何鹏雷：在过去的10年左右时间里，随着珠穆朗玛峰探险者和游客数量的显著增加，环境保护问题变得越来越突出。,"China News Service/He Penglei: In the last 10 years or so, environmental protection issues at Mount Everest have become increasingly prominent as the number of Mount Everest explorers and tourists increased significantly.","The Chinese News Agency/Dao Jinping: In the past 10 years, a significant increase in environmental protection problems in the Himalayan mountains and tourists remains increasingly growing."
1997年春天，西藏自治区登山协会首次对珠穆朗玛峰北坡进行了清理工作，清除了20世纪60至70年代遗留下来的氧气罐及其他生活垃圾。这段视频还在当年于京都举行的《联合国气候变化框架公约》缔约方大会上进行了特别播放，引起了全球的广泛关注。,"In the Spring of 1997, the Tibet Autonomous Region Mountaineering Association initiated the first clean-up on the Northern slope of Mount Everest, cleaning up oxygen tanks and other domestic waste left over from the 1960s and 1970s. This video was also specially broadcast at the Conference of the Parties to the United Nations Framework Convention on Climate Change in Kyoto that year, drawing world attention.","The annual video of the Himalayan Mountains, which was a celebration of the Climate Change Framework, which was published in 1997, which was a very interesting video in the Geneva Convention on the Climate Change Framework, which took place in the summit of Kyoto, which was a very significant impact on global awareness."
据尼玛·策林（Nyima Tsering）介绍，1997年后，许多公益组织陆续前来协助清理珠穆朗玛峰北坡的垃圾，但参与其中的大多数人都不是专业人士。,"According to Nyima Tsering, after 1997, public interest groups arrived successively to help clean up the Northern slope of Mount Everest, but most of the participants were non-professionals.","The Nimisha Tsering reported that 1997, many organizations have already visited the streets of Himalayan mountains, but most of the workers have already visited the streets."
三年前，巴黎圣日耳曼（PSG）是否曾向巴塞罗那（Barcelona）警告过他们有意收购内马尔（Neymar）？,Did PSG warn Barcelona about move for Neymar three years ago?,The Paris PSG has warned that they are willing to sell Neymar (Neymar)?
拉利加俱乐部（La Liga）方面可能会为自己的引援计划感到后悔——毕竟他们对马尔科·维拉蒂（Marco Verratti）的兴趣实在过于强烈了。,La Liga side may rue their interest in Marco Verratti,The La Liga may be regretful – because they are willing to believe that they are willing to raise their goals – because they are a very sensitive to Marco Verratti.
巴黎圣日耳曼在向巴塞罗那提出1.89亿英镑的报价（该报价足以触发内马尔的转会条款）后，仍不会放弃对内马尔的追求。不过，他们在三年前是否曾向巴塞罗那警告过这一可能创下转会纪录的巨额交易呢？,"Paris Saint-Germain will not let up in their pursuit of Neymar after lodging a £189m offer to trigger his release clause, but did they warn Barcelona of the world-record raid three years ago?","The Paris would not believe that they have already signed a 1.89 billion dollar worth of a pound of sterling (which would be a guarantee for the ECB’s withdrawal agreement) in the last three years, but they have already told the ECB that they would not be able to reject the promise of a massive financial agreement that would be a huge amount of a massive financial agreement that would be a huge amount of a"
这种引人注目的转会策略彻底改变了夏季转会市场的格局。这家法甲俱乐部准备打破现有的转会纪录——其转会费用将远超之前的纪录（上赛季保罗·博格巴以8900万英镑的价格重返曼联）。,"The sensational approach has lit up the summer transfer window, with the Ligue 1 club ready to break the world transfer record by more than double the previous mark, which saw Paul Pogba return to Manchester United last season for £89m.",The latest shift strategy changed the overall economy of the summer crisis – which would become a huge amount of a few years ago – a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound of a pound.
一旦转会完成，内马尔将成为世界上最昂贵的球员，同时也是全球收入最高的职业运动员。巴黎圣日耳曼俱乐部为他提供的周薪（税后）超过了50万英镑。,"Once completed, the move will see Neymar become the world's most expensive player and also the highest-paid professional sportsman in the world, with PSG offering wages of over £500,000-a-week after tax.","The following steps will be completed, Nicolas Sarkozy will be the world’s most expensive player, and the world’s highest income athlete."
据悉，巴塞罗那对此次转会操作的方式以及内马尔强行离开俱乐部的行为感到非常愤怒。不过，一位接近巴塞罗那董事会的人士坚称，自内马尔2013年从桑托斯转会而来后，俱乐部一直尽最大努力照顾他。,"Barcelona are known to be furious with the manner of the approach and the way that Neymar has forced his way out, despite a source close to the Catalans' board insisting that the club have always done their best to look after him since his arrival from Santos in 2013.","The following, a former executive who spoke to the following negotiations and the failure of a former chairman of the ECB, believed that the club has always been able to help him."
但是，三年前巴黎圣日耳曼（PSG）的主席是否就已经向整个足球界预警过这种可能性呢？,But was the football world warned of this prospect three years ago by the PSG president?,"But, when the PSG’s president was already reported to the soccer world?"
2014年，当曼城表示有意签下布莱斯·马图伊迪时，纳赛尔·阿尔-赫莱菲向任何试图引进巴黎圣日耳曼顶级球员的俱乐部发出了严厉警告。,"When Manchester City expressed an interest in signing Blaise Matuidi in 2014, Nasser Al-Khelaifi had a stern warning for any club looking to sign one of PSG's best players.","The 2014, when Cameron announced that he would choose a former captain in Munich, a former captain in the United Kingdom, a threat to a league that would be a threat to a league that would be a threat to a league that would be a winner of the league."
“我并不担心，因为他们知道：如果他们敢触碰我们的任何一名球员，我们一定会与他们对抗，并且会联系他们的球员。”阿尔-赫莱菲说道。,"""I am not worried because they know that if they touch one of our players, then we will be in opposition to them, we'll contact their players,"" Al-Khelaifi said.","They are not concerned, because they know that if we are able to catch our players, we will always negotiate with them, and we will always contact them."
“我们尊重所有的俱乐部。”,"""We respect all clubs.",The membership is a privilege.
但如果他们试图签下我们的任何一名球员，他们将会面临相应的后果。,"But if they try to sign one of our players, they'll face consequences.""","But if they would choose our players, they will face a further damage."
巴塞罗那似乎已经越过了这条“界限”；早在今年夏天，这家西班牙俱乐部就表示了对巴黎圣日耳曼中场球员马可·维拉蒂的兴趣。,"Barcelona appear to have crossed this line, with the Spanish club expressing an interesting in PSG midfielder Marco Verratti earlier this summer.",The Spanish club has already reached this “point”; when the Spanish club announced that the Spanish club has announced that the opportunity to raise their interests in the Munich soccer team.
巴黎圣日耳曼明确表示，他们绝不会允许这位意大利国脚在任何情况下离开球队；而巴塞罗那很可能因此而遭受重大损失——他们最宝贵的资产之一内马尔即将离队。,"PSG made it clear that they would not allow the Italy international to leave under any circumstances, and Barcelona could well be feeling the repercussions of that interest by losing one of their prize assets in Neymar.",The Paris Mayor reveals that they cannot allow him to leave a league without any reason; but the Catalan would not allow him to return to the league; and the Catalan would probably be able to leave a few times.
由中国国家电网有限公司（SGCC）与国际电工委员会（IEC）共同主办的国际可再生能源发展与技术大会最近在德国法兰克福举行。,"By staff reporter Wang Yichen: The International Conference on Renewable Energy Development and Technology jointly organized by State Grid Corporation of China (SGCC) and the International Electrotechnical Commission was held in Frankfurt, Germany recently.",The International Energy Development and Technology Conference in Germany has been organized in Germany in Germany.
目前，加快可再生能源的发展以及推动向清洁、低碳能源的转型已成为全球性的趋势。,"At present, accelerating the development of renewable energy, and advancing transformation toward clean and low-carbon energy have become a global trend.",The growth of renewable energy and increasing renewable energy growth and further growth in renewable energy are the global trend.
然而，可再生能源的大规模开发与应用仍面临着系统安全性、远距离传输、技术经济性等方面的问题与挑战，这些都需要被认真应对并加以解决。,"However, large-scale development and use of renewable energy continued to be assailed by system security, long-distance delivery, technology economic and other issues and challenges that need to be confronted and resolved.","But, a large expansion of renewable energy has already struggled to avoid a lack of efficient implementation and implementation, which need to be handled by experts and advised."
国家电网有限公司董事长舒印彪透露，该公司正在计划扩大同步电网的规模，以加强现有的区域电网之间的互联互通。到2020年，区域间的电力传输能力将提升至约3亿千瓦。,"SGCC Chairman Shu Yinbiao revealed that the company was in the process of planning to expand the size of the synchronous power grid so as to strengthen the existing regional power grid interconnection. By 2020, inter-regional power transmission capacity will increase to about 300 million kW.","The chairman of the National电网, Chief of Energy Corporation, announced that the company will increase capacity to expand integrated 电网s, which will increase capacity to increase capacity to increase capacity to increase capacity to increase capacity to increase capacity to increase capacity to almost three billion tons of electricity."
我们的驻场记者在8月初了解到：在今年上半年，某些风力发电场中的风力涡轮机被暂时停运的现象在“北部三个”风力发电区域相当普遍。,"Our staff reporter learned at the beginning of August that in the first half of the year, it was understood that operations of certain wind turbines being suspended in wind farms was a fairly common phenomenon in the “three northern” wind power regions.","The closest observers have reported that some heavy-electric vehicles were already closed in the early July, which remains a relatively increasingly growing in the “southern two” climate plants."
盐城市的可再生能源（如风能和光伏发电）占江苏省可再生能源总量的70%。沿海地区开发的可再生能源均在当地生产和消费，这些能源在盐城市展现出了巨大的优势与潜力。,"Yancheng’s renewable energy such as wind power and PV, accounts for 70% of Jiangsu’s total. Renewable energy developed along the coast is produced and consumed locally, and has displayed enormous advantages and potential in Yancheng.","The rivers’ sustainable energy (such as wind energy and solar electricity) remains 70% of the province’s capacity to produce and consume, which contributed to a huge advantage and potential."
1月3日新闻：记者昨日从广州花市办公室获悉，2008年春节花市的招标工作即将开始。,January 3 news: Reporters learned from the Guangzhou Flower Market Office yesterday that the Spring Festival flower market will begin receiving bids for the 2008 Spring Festival flower market soon.,"The news of the January 3 news: According to the Guangzhou Convention Center, the proposals for 2008 would be completed."
花都区分别于上个月的29日和30日，就柑橘展位和花卉展位的建设项目举行了招标活动。,"Huadu District held tenders for the tangerine and flower booths on the 29th and 30th last month, respectively.","The gardens are located in the October and 30th, which took a consultation on a proposal for a planting project in the crops and flowers."
广州市越秀区档案局正在整理和收集数百张关于春节花市的历史老照片（这些照片拍摄于大约50至60年前），并计划于2008年1月8日在越秀文化艺术中心公开展出这些照片。当春节花市在1月底建成之后，这些老照片的展览地点将移至北京路的Grandbuy百货商店。,"Guangzhou Yuexiu Archives Bureau is organizing and collecting hundreds of historic old photos of Spring Festival flower markets (photographed some 50 to 60 years ago), and will publicly exhibit them at the Yuexiu Culture Artistic Center on January 8, 2008. When the flower markets are being constructed at the end of January, the exhibition of these old photos will be moved to Grandbuy Department Store at Beijing Road.","The Guangdong 档案 Department has published and collected thousands of images from the historical images of the autumn flowers (which were photographed in the early 50 years), and planning to establish a exhibition where the images were published in the October 8 in the Grandbuy store."
在其他地方，越秀区文化局也将举办一场花市论坛，邀请广州的老领导、民俗专家、知名人士以及北京路的原住民等人士共同探讨北京路和西湖路花市的历史与发展前景。,"Elsewhere, the Cultural Bureau of Yuexiu District will also hold a flower market forum, and will invite old Guangzhou leaders, folklore experts, celebrities, old residents of Beijing Road and others to come together to talk about the history and future development of Beijing Road and West Lake Road flower markets.","In other areas, the Cultural Center will gather a celebration of a celebration of a celebration of a celebration of a celebration of a celebration of a traditional leadership, a traditional historian, a famous historian, a famous historian, and a famous visitor to Beijing and a famous visitor to Beijing."
花卉市场论坛将联系网络媒体进行在线直播，并与当地居民进行实时互动。,"The flower market forum will contact Internet media to carry out online broadcast, and will conduct live interaction with residents.","The Farmer Market Forum will invite local residents to broadcast their Internet media, and broadcast their local people."
此外，线上花卉市场也将向公众开放。通过利用住宅小区的信息网络，系统会向那些打算前往北京路商业区或西湖路花卉市场参观购物的居民发送关于这些市场的简要介绍和相关信息。居民们可以使用手机浏览这些“线上花卉市场”。,"In addition, online flower markets will be made accessible. By using the information networks of housing estates, brief introductions and messages about the flower markets will be sent to residents who intend to visit and shop at the Beijing Road business district and West Lake Road flower market. Residents may browse the “online flower markets” on their mobile phones.","The online crop market will open to public visitors, using Internet Internet, which allows residents to visit the markets in the residential areas or the borders of the borders or the borders of the borders of the borders or the borders of the borders."
"2015年，也就是禁止从死刑犯身上摘取器官的那一年，中国公民在去世后共捐献了2,776个器官，同时完成了10,057例器官移植手术，创下了新的纪录。","In 2015, the year when harvesting the organs of death row inmates was forbidden, there were 2,776 cases of organ donations from Chinese citizens upon death, and 10,057 organ transplant surgeries performed, setting a new record.","The 2015 anniversary of the killing of the Chinese citizens, which took a few thousand pieces of instruments, took a new record."
过去，《临川四梦》总是以昆曲的形式在舞台上演出；而这部作品在被改编成剧本后再次被搬上舞台进行表演，这还是第一次。,"In the past, the “Four Dreams of Linchuan” would be performed on stage in the Kunqu style. The performance of this piece after it was adapted into a play, is a first.","The past, the Lost Promises always played in theatre; and the film was released in theatre; and the film was released in theatre, which was released in theatre."
在决赛中对阵马可·傅时，希金斯连续击球得分三次，从而以4-1领先。,"In the finals against Marco Fu, Higgins scored three consecutive shots and got a 4-1 lead.","In the final, a winner played in a semifinal, played in a third victory, which took a third victory."
标有“四川制造”的可再生能源汽车逆势而上。随着财政补贴的减少、充电设施的不足，以及三元锂电池在可再生能源乘用车中的使用被暂停，国内可再生能源汽车市场面临着持续上升的压力……,"“Made in Sichuan” renewable energy vehicles rose against the tide. Weakening fiscal subsidies, inadequate charging facilities, and ternary lithium batteries suspended from use in renewable energy passenger vehicles; in the face of prevailing upward pressures in the domestic renewable energy automobile market",The rising deficit of a “Chinese manufacture” automobile is a weaker threat to a renewable energy vehicle.
在第16届中西部国际博览会（以下简称“WCIF”）的第一阶段展览中（展览时间为11月3日至6日），包括成都、南充和雅安在内的六个城市和地区展示了他们在先进制造业领域的发展成果。其中，可再生能源汽车尤为引人注目——多家企业推出了多款新型新能源汽车，引发了业界的高度关注。,"In the Phase I exhibition of the 16th Western China International Fair (hereinafter referred to as “WCIF”), which was held between November 3 and 6, six cities and prefectures including Chengdu, Nanchong and Ya’an, exhibited their development achievements in the advanced manufacturing sector. Renewable energy vehicles shone in particular, with the launch of various new vehicles, attracting widespread attention in the industry.","The first annual event in the WCIF, which took place in the first stage of the World Trade Expo (WCIF), including a few cities and regions, including a few cities and regions, including a few cities and regions, including a few cities and regions, including a few cities and regions, including a few cities and regions, including a few cities and regions, including a few cities and cities, including a few cities and "
目前，由于财政补贴力度减弱、充电设施不足，以及三元锂电池被禁止用于可再生能源乘用车，国内可再生能源汽车市场正面临暂时性的压力。,"At present, the domestic renewable energy automobile market is temporarily under pressure because of weakening fiscal subsidies, inadequate charging facilities, and ternary lithium batteries being suspended from use in renewable energy passenger vehicles.","The current crisis, because the fiscal incentives increases, emissions restrictions, and a lack of electricity capacity, and a limited capacity for a renewable energy vehicle, the country’s sustainable economy is already a serious pressure."
然而，标有“四川制造”的可再生能源汽车逆势而上，成功进入了乘用车和商用车市场。他们为何如此自信呢？,"However, “Made in Sichuan” renewable energy vehicles rose against the tide, and have made major forays into the passenger and commercial vehicle sub-markets. Why so confident?","But, a combination of “China manufacture” vehicles, successfully entered the automobile market to operate vehicles and 商用 cars."
"本报记者：赵泽宇  
当前情况：重点培养“顶尖人才”  
最近，“四川制造”的可再生能源汽车成为新闻报道的热门话题。",Staff reporter Zhao Zeyu. Current situation: Focus on developing “top students” “Made In Sichuan” renewable energy vehicles have dominated the news lately.,The current situation: a leading employer to become “high-level talent” in the recent “China production” vehicles are a popular news news.
在收购东风南充汽车有限公司不到八个月的时间后，吉利控股集团（以下简称“吉利集团”）全新的商用车品牌“远程”于10月26日正式亮相。作为吉利集团首款搭载智能汽车联网平台的纯电动轻型卡车，远程E200在武汉国际汽车工业博览会上首次公开亮相。,"Less than eight months after acquiring Dongfeng Nanchong Automobile Co., Ltd., Geely Holding Group’s (hereinafter referred to “Geely Group”) brand new commercial vehicle brand “Yuan Cheng” made its debut on October 26. Yuan Cheng E200, Geely Group's first pure electric light truck equipped with a smart auto networking platform premiered at WCIF.","In the acquisition of the Toyota Hyundai Hyundai, the new portable automobile brand “远程” was launched in September 26 in the Geneva International Motor Expo."
值得一提的是，在今年企业工资指导线的增长速度基本持平或下降的情况下，北京和贵州两地仍提高了最低工资标准。,"It is worth mentioning that under circumstances where the rate of growth of the enterprise wage guidelines this year was mainly flat or down, the minimum threshold in Beijing and Guizhou was raised.","The growth rate of employment guidelines is increasingly stable or rising, China and Shanghai are increasingly lower than the average wage standards."
新华社伦敦1月9日电（记者王自江）英国体育部门9日宣布，英国代表团在即将在韩国平昌举行的冬季奥运会上的目标为至少赢得5枚奖牌。这将是英国代表团在冬季奥运会历史上设定的“最佳目标”。,"Xinhua News Agency London January 9 wire (Reporter Wang Zijiang) On the 9th, UK Sport announced Great Britain’s target for next month’s Winter Olympics to be held in PyeongChang, South Korea: Win at least five medals. This would Team GB’s “best ever” target in the history of the Winter Olympics.",The BBC announced that the UK representatives in the United Kingdom announced that the UK representatives will choose to win five prize winners in the coming autumn tournament in the South Korea.
英国体育部门负责为各项奥运赛事分配资金，并为每项赛事设定奖牌目标。,"UK Sport is responsible for allocating funds to the various Olympic events, and for setting the medal targets for each event.","The UK athletic sector responsible for a financial contribution to all tournaments, and a prize goal to each event."
据预测，英国运动员有望在以下项目中赢得奖牌：单板滑雪、冰壶、 skeleton 项目（一种速度滑冰项目）以及短道速滑。,"It is predicted that events UK athletes have hopes of winning a medal are snowboarding, curling, skeleton and short track speed skating.","The UK athletes will earn a prize in these projects: a heavy-speed fishing project, a heavy-speed fishing project, and a tight-speed climb."
在上一个冬季奥运周期中，英国体育部门共拨款3200万英镑（约合2.8亿元人民币）用于冬季奥运项目的训练工作，这一金额是索契冬奥会周期期间训练经费的两倍。,"In the last Winter Olympic cycle, UK Sport has allocated a total of GBP32 million (approximately RMB280 million) to fund training for the Winter Olympic Game events, doubled that of the funding for the Sochi Winter Olympic cycle.","The UK athletic sector has provided $2.8 trillion ($2.8 trillion) for a 冬季 Olympic program, which is a third of the annual Olympic cycle."
大部分资金来自国家彩票，其余部分由政府提供。,"Most of the funding was sourced from the National Lottery, with the balance funded by the government.","The most funds are already being provided by governments, and the rest are provided by government."
英国将获得金牌的希望寄托在两位运动员身上：一位是短道速滑选手伊莉丝·克里斯蒂（Elise Christie），她在去年的世界锦标赛上获得了三枚金牌；另一位是莉齐·亚诺尔德（Lizzy Yarnold），她曾是奥运会 skeleton 项目的冠军。,"The UK has pinned its hopes for the gold medal on two people - short track speed skater Elise Christie, a triple gold medalist at last year’s world championships, and Lizzy Yarnold, the previous skeleton Olympic champion.","The UK will deserve a prize for a third athlete: a teenager, Elise Christie, who was a winner in the World Cup; a third is a winner in the World Cup; a second is a winner in the tournament."
在2014年索契冬季奥运会上，英国代表团获得了一枚金牌、一枚银牌和两枚铜牌，这是自1924年首届冬季奥运会以来英国代表团取得的最佳成绩。,"At the Sochi Winter Olympics in 2014, Team GB won one gold, one silver and two bronzes, the best tally since the inaugural Winter Olympics in 1924.","The UK officials have earned a prize, a prize, and a prize of a prize, which was the best achievement of the UK’s annual Olympic Games."
